Id,Category,Tweet
638551243653165056,neutral,"Apple hasn't ever focused on gaming, but has enjoyed incredible success with iOS gaming. Apple TV may focus on games: http://t.co/Qn3wgy1KU7"
638589551997513728,neutral,@TimRaphael215 may want to pick your brains - looking to get into iOS dev myself.
638614098482065410,positive,The Orks are here to tell you that we're gunning for a Sept 30th release of Herald of Oblivion on iOS and Android! http://t.co/ZwGO1iDqo0
638703996379746304,neutral,"@deba1602 3rd party app on iOS, Does it add a keyboard or you have to type -&gt; copy -&gt; paste ? @debabrata2008"
638776033215447040,neutral,M/T Webroot: Have a jailbroken iOS device? You may want to reconsider. http://t.co/2QFA6jFLNf
638828126097682432,neutral,"@icj_ i have the Ipod Touch 5th and i have the IOS 8.4.1,ofc i cant downgrade because 8.4 is not being signded,so now what i supposed to do?"
638857391686184961,positive,"@arekdreyer Making my way through your Managing iOS and Macs 2nd Ed. book. Great read, really well done! Thanks for doing this; keep it up."
638886628602155008,neutral,"Google's Android Wear for iOS confirmed incompatible with Apple's HealthKit: In announcing Android Wear for iOS on Monday, Google not..."
638927700648964096,neutral,@LeeQVC Hi Lee my iPhone is currently operating on IOS 6do I have to put IOS7 1st or can upload IOS8 if so how do I go about it ?
638945625548173312,positive,wed night 7pm pacific join the The BLAST! live right here on FB as we have the founder's of the IOS app Kander on... http://t.co/XgeUKCqd6f
639001381655982080,positive,codigames:Do you like ARPGs?Dungeon Legends arrive to iOS on September 3rd http://t.co/17VP9iXAxj #gamedev #iphone http://t.co/vGQF11yE2H
639016946541850624,neutral,Jailbreaking iOS Devices May Not Be The Best Idea: Security vulnerabilities in the iOS can rarely be... http://t.co/yAATcrXOrU #security
639071474754711552,positive,"Come and have the FIRST EVER GO on Lumino City on iOS @SomersetHouse @nowplaythese + real models, Friday til Sunday! http://t.co/GXdkU8COnj"
639085295351132161,neutral,Rumor has it that a certain app is available on iOS and it's FREE.  Android coming Friday. http://t.co/JXNaqgUWaz
639115503492038656,neutral,@steveballin So far we've announced iOS and Android versions and we focus on them. This may change in the future though.
639117172204138496,neutral,"@MyersNFL May favorite one EVER on iOS is Harbaugh, it autocorrects to Garbage"
639217575298248704,neutral,@MKBHD do u know if the moto360 2nd gen will work with iOS devices??
639289589396541440,positive,Not Available
639456517008326656,positive,My best guess is we should see MCPE0.12.0 submitted to IOS and Google by the end of week or into Monday if the devs have cleaned up the bugs
639485295218585600,positive,The next Pixel Dungeon update for Steam and iOS with a lot of new features and improvements will be released on September 4th.
639542718117490688,neutral,Thursday Night on KXLU! Get the @KXLU889 app for IOS or Android at http://t.co/hDxy5DKgp7 and LISTEN! http://t.co/bjODczV0MF
639586654492205056,neutral,Not Available
639731200492482560,neutral,Been using Vodafone's smart ultra 6 since Tuesday. Can't get the hang of it and finding a few faults with android. Back to IOS I think...
639806019665793024,neutral,"Meet your new (old) favorite endless runner for iOS, Race the Sun - Macworld http://t.co/or8gZl9CsG"
639825263187128320,positive,"Are you ready for our new 2048 app launch tomorrow? Build binaries for IOS, Android, Windows Phones and Tablets.... http://t.co/pmCGUUu6cL"
639886266843164672,neutral,@flyshorts BTW I &amp; others have run into a fair number of cataloguing issues with the Apple Music update in iOS 8.4. This may be a symptom.
639899879955935232,positive,This hopefully means that MCPE will come out for IOS around the 8th of September along with all other versions!
640017715894206464,positive,What you should look for from Apple's September 9 event: A new version of iOS will likely arrive with those sh... http://t.co/TcdFrMhODo
640163020539203584,neutral,Want to speed up your sharing? Automate a few things from your iOS device? Workflow may be the solution. http://t.co/cVkMkRCeDq
640184988172963840,positive,@RobloxLeaksFTW thank you now I may actually have a chance on ios now
640305299270799364,positive,articlesection classpagepAndroid Wear may be very close to working with iOS
640324452731875328,positive,Not Available
640329967826440192,positive,Not Available
640350165879144448,positive,@_tomcc Hey Tommaso when is the release date for 0.12 on iOS? If the answer is around the 8th thats where my school starts!
640506480488153088,positive,Not Available
640515279873830912,positive,1 DAY.#CrowdViz releases on Labor Day September 7th! An IOS app that unites blind people with sighted assistants. http://t.co/fNXqXa685P
640604280706076672,positive,WHO CANT WAIT FOR MINECRAFT 0.12 ON IOS BUT NOW U DONT HAVE TO WAIT CAUSE IT WILL BE SUBMITTED AT 8th september 1 day left
640640481714638848,neutral,It's quite funny to see iOS developers taking advantage of the new Ugmonk 6th Anniversary set!
640719733940191233,negative,Not Available
640862561236185090,positive,"@KymLang links are working fine on my IOS device. Some times on the first click I get a ""open in safari ?"" Cancel it &amp; do a 2nd click. Works"
640985843851767808,positive,"@darngeek all device build 14 tomorrow or official (WP,android,IOS) ? Hehe :P yay happy day for you ..."
641021806061621248,neutral,@_tomcc so the 12.0 for IOS will be out tomorrow correct??
641105483122798592,positive,Tech: Android&gt;Star Wars: Uprising launches September 10 on iOS and Android - GB: Star Wars canon is about t..http://t.co/oiTvPxGfby #mobile
641288798790418432,positive,@_tomcc hi I was wondering do u mean you'll try to release MCPE 0.12.1 to iOS tomorrow??? Ps your awesome
641393171008720896,neutral,Not Available
641433564836290560,positive,Check out my ride in #CSRRacing for iOS! Try it for FREE! http://t.co/BvKgJ02yP8 now car http://t.co/PLHShHhLA0
641438788472991744,neutral,Apple releases what the next iPhones and IOS will be like tomorrow
641441832291934208,positive,You can download 0.12.0 for iOS and the show or server won't work until tomorrow be happy and SMILE MORE =)
641482982688075776,positive,"Those of you with iOS devices, ask Siri to ""give you a hint"" about tomorrow's Apple keynote. http://t.co/pfQkdUDchQ"
641485888673812480,positive,I don't operate any iOS devices anymore but I'll still tune into the big show tomorrow. Still fun to watch the event and see what's what.
641488560437260288,neutral,@pedstrom Not sure what you mean. Continuity doesn't require a separate 3rd device (Watch) for two (other) iOS devices to pair and share.
641494998010200064,negative,ok inbox on iOS has a pretty animation for the sun but thew android version doesnt :(
641542106306101248,neutral,@AGPlaya the only time i would say i really enjoyed IOS was fifa 14 before i got my console in may soon as i got that i stopped playing it
641632558996811776,positive,"Wanna watch the iPhone announcement... LIVE? With any iOS device (Safari Browser)... watch here, starting 10 AM PST: http://t.co/ty3GDrguxn"
641642814632124416,positive,"ATTN: Beginning Oct 1st, Munzee 3.0 will be the only app available for iOS and Android. Also, 3.0.1 is in review and includes bug fixes."
641653401877618688,positive,Did you know that we are launching @eccgames's Tower Dwellers Gold on Android tomorrow in tandem with iOS? https://t.co/PIBCmp1bzd
